Ebeko,1156,"50,68°N 156,02°E"
Ekarma,1170,"48,956°N 153,93°E"
Fuss Peak,1772,"50,27°N 155,25°E"
Golets-Torny Group,442,"45,3°N 148,4°E"
Golovnin,541,"43,85°N 145,53°E"
Goriaschaia Sopka,891,"46,83°N 151,75°E"
Grozny Group,1211,"45,02°N 147,87°E"
Ivao Group,1426,"45,77°N 149,68°E"
Karpinsky Group,1345,"50,13°N 155,37°E"
Ketoi,1172,"47,35°N 152,475°E"
Kharimkotan,1145,"49,12°N 156,508°E"
Kolokol Group,1328,"46,04°N 150,05°E"
Kuntomintar,828,"48,77°N 154,02°E"
Lomonosov Group,1681,"50,3°N 155,4°E"
Lvinaya Past,528,"44,608°N 146,3994°E"
Medvezhia,1125,"45,387°N 148,843°E"
Mendeleev,887,"43,98°N 145,70°E"
Milne,1540,"46,82°N 151,78°E"
Nemo Peak,1018,"49,6°N 154,8°E"
Prevo Peak,1360,"47,02°N 152,12°E"
Raikoke,551,"48,29°N 153,25°E"
Rasshua,956,"47,77°N 153,02°E"
Rudakov,542,"45,88°N 149,83°E"
Sarychev Peak,1496,"48,092°N 153,20°E"
Shirinki,761,"50,20°N 154,98°E"
Sinarka,934,"48,87°N 154,17°E"
Smirnov,1189,"44,43°N 146,13°E"
Srednii,36,"47,6°N 152,9°E"
Tao-Rusyr Caldera,1325,"49,35°N 154,70°E"
Tiatia,1819,"44,351°N 146,256°E"
Tri Sestry,998,"45,93°N 149,92°E"
Urataman,678,"47,12°N 152,23°E"
Ushishur,401,"47,52°N 152,80°E"
Vernadskii Ridge,1183,"50,55°N 155,97°E"
Zavaritski Caldera,624,"46,925°N 151,95°E"
Anik Mountain,1933,"47,26°N 137,02194°E"
Azas Plateau,2765,"53,53°N 98,60°E"
Balagan-Tas,993,"66,43°N 143,73°E"
Elbrus,5633,"43,33°N 42,45°E"
Oka Plateau,2077,"53,70°N 98,98°E"
Sikhote-Alin,—,"47,00°N 137,50°E"
Tunkin Depression,1200,"51,50°N 102,50°E"
Udokan Plateau,2180,"56,28°N 117,77°E"
